ps_category,ps_product_name,ps_product_description,ps_minimum_purchase_quantity,ps_sku_parent_short,et_title_variation_integration_no,et_title_variation_1,et_title_option_for_variation_1,et_title_image_per_variation,et_title_variation_2,et_title_option_for_variation_2,ps_price,ps_stock,ps_sku_short,ps_new_size_chart,ps_gtin_code,ps_item_cover_image,ps_item_image_1,ps_item_image_2,ps_item_image_3,ps_item_image_4,ps_item_image_5,ps_item_image_6,ps_item_image_7,ps_item_image_8,ps_weight,ps_length,ps_width,ps_height,channel_id.30001,channel_id.30005,channel_id.30006,channel_id.30012,channel_id.30014,channel_id.30015,channel_id.30017,channel_id.30020,ps_product_pre_order_dts,et_title_reason
basic,1f87bf7cbf35faccefb5dc3e1dd1d289,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
從商品分類中選擇您想要的分類，或者由系統為您的商品推薦分類,請輸入10至60個字作為商品名稱。,請輸入3至3000個字作為商品描述。,"最低購買數量只能為 1 至 999,999 之間的整數",請為主商品貨號輸入1-100個字,請為商品規格識別碼輸入1-100的字元,請為規格名稱輸入 1  - 14 個字元,請為規格選項輸入  1 - 20 個字元,請輸入商品圖片的連結,請為規格名稱輸入 1 - 14 個字元,請為規格選項輸入  1 - 20 個字元,請為商品價格輸入 1 - 499999 的數字，商品規格最貴的價格不可超過最便宜價格的 5 倍,請輸入0至10000000作為商品庫存。,請輸入少於100個字作為商品貨號參考。,請輸入尺寸表模板 ID,請輸入 8 到 14 位數字,“尺寸：每張圖片最大2.0mb。接受格式：JPG，JPEG，PNG。建議尺寸：1 x 1 px”,“尺寸：每張圖片最大2.0mb。接受格式：JPG，JPEG，PNG。建議尺寸：1 x 1 px”,“尺寸：每張圖片最大2.0mb。接受格式：JPG，JPEG，PNG。建議尺寸：1 x 1 px”,“尺寸：每張圖片最大2.0mb。接受格式：JPG，JPEG，PNG。建議尺寸：1 x 1 px”,“尺寸：每張圖片最大2.0mb。接受格式：JPG，JPEG，PNG。建議尺寸：1 x 1 px”,“尺寸：每張圖片最大2.0mb。接受格式：JPG，JPEG，PNG。建議尺寸：1 x 1 px”,“尺寸：每張圖片最大2.0mb。接受格式：JPG，JPEG，PNG。建議尺寸：1 x 1 px”,“尺寸：每張圖片最大2.0mb。接受格式：JPG，JPEG，PNG。建議尺寸：1 x 1 px”,“尺寸：每張圖片最大2.0mb。接受格式：JPG，JPEG，PNG。建議尺寸：1 x 1 px”,請輸入0.00至1000000.00 kg作為商品重量。,請輸入0至1000000作為商品長度。,請輸入0至1000000作為商品寬度。,請輸入0至1000000作為商品高度。,開啟/關閉,開啟/關閉,開啟/關閉,開啟/關閉,開啟/關閉,開啟/關閉,開啟/關閉,開啟/關閉,如果您要為商品設定較長備貨天數，請參考各分類的備貨天數範圍,
,電腦手托架臂托 | 鍵盤鼠標護托 | 180度旋轉護腕鼠標墊,"人體工學設計：符合手臂和手腕自然曲線，減少長時間使用電腦引起的疲勞和不適。
180度旋轉：靈活的旋轉設計，支持自由調整手托的角度，適應不同的工作需求。
穩固耐用：使用高品質材料製成，穩固且耐用，能長時間提供穩定的支撐。
適用多種設備：兼容大多數鍵盤和鼠標，適合辦公桌、遊戲桌或家用電腦桌使用。
護腕設計：內建護腕鼠標墊，給手腕提供額外的支撐和舒適度，減少手部壓力。
易於安裝：簡易安裝設計，無需工具，幾分鐘內即可安裝完成。",,,顔色,紅色 ,C:\Users\Home\Documents\電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉\sku图片\电脑手托架【红色】.jpg,,,,80,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,電腦手托架臂托 | 鍵盤鼠標護托 | 180度旋轉護腕鼠標墊,"人體工學設計：符合手臂和手腕自然曲線，減少長時間使用電腦引起的疲勞和不適。
180度旋轉：靈活的旋轉設計，支持自由調整手托的角度，適應不同的工作需求。
穩固耐用：使用高品質材料製成，穩固且耐用，能長時間提供穩定的支撐。
適用多種設備：兼容大多數鍵盤和鼠標，適合辦公桌、遊戲桌或家用電腦桌使用。
護腕設計：內建護腕鼠標墊，給手腕提供額外的支撐和舒適度，減少手部壓力。
易於安裝：簡易安裝設計，無需工具，幾分鐘內即可安裝完成。",,,顔色,黃色,C:\Users\Home\Documents\電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉\sku图片\电脑手托架【黄色】.jpg, ,,,80,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,電腦手托架臂托 | 鍵盤鼠標護托 | 180度旋轉護腕鼠標墊,"人體工學設計：符合手臂和手腕自然曲線，減少長時間使用電腦引起的疲勞和不適。
180度旋轉：靈活的旋轉設計，支持自由調整手托的角度，適應不同的工作需求。
穩固耐用：使用高品質材料製成，穩固且耐用，能長時間提供穩定的支撐。
適用多種設備：兼容大多數鍵盤和鼠標，適合辦公桌、遊戲桌或家用電腦桌使用。
護腕設計：內建護腕鼠標墊，給手腕提供額外的支撐和舒適度，減少手部壓力。
易於安裝：簡易安裝設計，無需工具，幾分鐘內即可安裝完成。",,,顔色,黑色,C:\Users\Home\Documents\電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉\sku图片\电脑手托架【黑色】.jpg,,,,80,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-1.jpg,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-2.jpg,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-3.jpg,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-4.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-5.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-6.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-7.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-8.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-9.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-10.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-11.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-12.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-13.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-14.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,C:/Users/Home/Documents/電腦手托架臂托鼠標護托鍵盤拖電腦手托板架護腕鼠標墊180度旋轉/主图/主图-15.jpg,,,,,,,,,,,,,,,,,,,
