Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status,Cost,Google 自定標簽,每件商品的成本,價格/國際,比較價格/國際
example-t-shirt,Example T-Shirt,,Acme,Apparel & Accessories > Clothing,Shirts,mens t-shirt example,True,Title,"Lithograph - Height: 9"" x Width: 12""",,,,,,3629.0,,,deny,manual,,,True,True,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,1.0,,False,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC910,T-shirts,"cotton, pre-shrunk",used,False,,,,,,,g,,,,,active,,,,,
example-t-shirt,,,,,,,,,Small,,,,,example-shirt-s,200.0,,,deny,manual,,24.99,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,
example-t-shirt,,,,,,,,,Medium,,,,,example-shirt-m,200.0,shopify,,deny,manual,,24.99,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,
example-pants,Example Pants,,Acme,Apparel & Accessories > Clothing,Pants,mens pants example,False,Title,"Jeans, W32H34",,,,,,1250.0,,,deny,manual,,57.99,True,True,,https://burst.shopifycdn.com/photos/distressed-kids-jeans.jpg?width=5000,1.0,,False,Our awesome Pants in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7Y2ABD712,Pants,"cotton, pre-shrunk",used,False,,,,,,,g,,,,,draft,,,,,
example-hat,Example Hat,,Acme,Apparel & Accessories > Clothing,Hat,mens hat example,False,Title,Grey,,,,,,275.0,,,deny,manual,,22.99,True,True,,https://burst.shopifycdn.com/photos/kids-beanie.jpg?width=5000,1.0,,False,Our awesome Hat in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,5P1NBQ314,Hat,"cotton, pre-shrunk",used,False,,,,,,,g,,,,,archived,,,,,
fruit-peeler,新款带盒收纳厨房专用水果削皮器削皮刀,,,,,,,Color,浅绿/橙色,,,,,GR-11,1640.0,,21.0,,,173.84,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,1.64,"削皮器, 水果, 廚房工具",1.64,3.28,4.1
stylus-pen,源头厂家高精度触控笔,,,,,,,Color,玫瑰金/银色,,,,,ST-88,220.0,,16.0,,,58.120000000000005,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,3.7,"觸控筆, 蘋果手寫筆, 華為觸控筆",3.7,7.4,9.25
lazy-mop,懒人自动夹布拖把,,,,,,,Size,标准/加长/特长,,,,,MO-33,770.0,,3.0,,,149.92000000000002,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,7.6,"拖把, 清潔, 家居用品",7.6,15.2,19.0
keyboard-stand,电脑手托架桌面延长版键盘托,,,,,,,Color,蓝/非/黄,,,,,KS-48,1250.0,,6.0,,,168.0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,4.8,"鍵盤支架, 桌面支架, 手托架",4.8,9.6,12.0
tape-measure,厂家大量批发钢卷尺,,,,,,,Size,5米/7.5米/10米,,,,,TM-5M,,,,,,50.0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,5.0,"鋼卷尺, 尺子, 量具",5.0,10.0,12.5
saw-blade,陶瓷合金冷切锯片手持无刷冷切锯,,,,,,,Size,110mm/140mm,,,,,SB-110,1290.0,,6.0,,,136.74,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,1.29,"鋸片, 切割片, 工具",1.29,2.58,3.225
rebar-cutter,跨境手持冷切锯电动钢筋螺纹钢切割机,,,,,,,None,None,,,,,RC-2,16000.0,,2.0,,,1696.0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,16.0,"切割機, 鋼筋, 電動工具",16.0,32.0,40.0
