Column1,tittle,,成本,重量,運費 1,數量,運費/每單位,稅金,單位,匯率,臺幣,加成,建議售價,_3,_4,_5
1,solder absorber ,,,,,,,,,5,,,,,,
2,conputer hand rest,,,,,,,,,5,,,,,,
3,tape measure,,,,,,,,,5,,,,,,
4,zipper pull ,,,,,,,,,5,,,,,,
5,stylus,,,,,,,,,5,,,,,,
6,swabber,,,,,,,,,5,,,,,,
7,,,,,,,,,,5,,,,,,
8,,,,,,,,,,5,,,,,,
9,,,,,,,,,,5,,,,,,
10,,,,,,,,,,5,,,,,,
11,,,,,,,,,,5,,,,,,
12,,,,,,,,,,5,,,,,,
13,,,,,,,,,,5,,,,,,
14,,,,,,,,,,5,,,,,,
15,,,,,,,,,,5,,,,,,
16,,,,,,,,,,5,,,,,,
17,,,,,,,,,,5,,,,,,
18,,,,,,,,,,5,,,,,,
19,,,,,,,,,,5,,,,,,
20,,,,,,,,,,5,,,,,,
,,,,,,,,,,5,,,,,,
,,,,,,,,,,5,,,,,,
